label,message
safe,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
safe,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
safe,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
phishing,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
phishing,Moby Pub Quiz.Win a ?100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP ?1.50 008704050406 SP Arrow
safe,Lovely smell on this bus and it ain't tobacco...
safe,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.
phishing,CDs 4u: Congratulations ur awarded ?500 of CD gift vouchers or ?125 gift guaranteed & Freeentry 2 ?100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16
safe,"\CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUND?S LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.\"""""
safe,Yes there were many sweets
phishing,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
phishing,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
safe,Dude got a haircut. Now its breezy up there
phishing,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
safe,"We made it! Eta at taunton is 12:30 as planned, hope that?? still okday?! Good to see you! :-xx"
safe,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
safe,So how's the weather over there?
safe,Call me when you get the chance plz &lt;3
safe,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
safe,Oh really?? Did you make it on air? What's your talent?
safe,Done it but internet connection v slow and can?? send it. Will try again later or first thing tomo.
safe,Oh ok..
safe,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
safe,"Hiya, probably coming home * weekend after next"
safe,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit
safe,Ambrith..madurai..met u in arun dha marrge..remembr?
safe,I dunno until when... Lets go learn pilates...
suspicious,Notis keselamatan sila respon
safe,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
safe,Nope i'm not drivin... I neva develop da photos lei...
safe,"Sorry, I'll call later"
safe,Thanks chikku..:-) gud nyt:-*
safe,That was random saw my old roomate on campus. He graduated
safe,Wat u doing there?
safe,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
safe,I dont know why she.s not getting your messages
safe,Do you like Italian food?
safe,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
safe,"Greetings me, ! Consider yourself excused."
safe,Lmao!nice 1
safe,Tmr timin still da same wat cos i got lesson until 6...
safe,i thought we were doing a king of the hill thing there.
safe,Lol that's different. I don't go trying to find every real life photo you ever took.
safe,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
safe,Jordan got voted out last nite!
safe,You are a very very very very bad girl. Or lady.
safe,I am great! How are you?
phishing,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468
phishing,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly
safe,Thanks for loving me so. You rock
safe,Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends
safe,No way I'm going back there!
phishing,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records"
safe,"Haha... Sounds crazy, dunno can tahan anot..."
safe,So wat's da decision?
safe,"I'm outside islands, head towards hard rock and you'll run into me"
safe,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)"""
safe,Ok. How many should i buy.
safe,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...
safe,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
safe,Sary just need Tim in the bollox &it hurt him a lot so he tol me!
safe,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
safe,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks
safe,I'm in a movie. Call me 4 wat?
safe,dont make ne plans for nxt wknd coz she wants us to come down then ok
safe,Well i will watch shrek in 3D!!B)
safe,Is avatar supposed to have subtoitles
safe,U don't remember that old commercial?
safe,Ball is moving a lot.will spin in last :)so very difficult to bat:)
safe,"Arms fine, how's Cardiff and uni?"
safe,Erm. I thought the contract ran out the4th of october.
safe,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!"
safe,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"""
phishing,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls?1/minmoremobsEMSPOBox45PO139WA
phishing,URGENT! We are trying to contact U. Todays draw shows that you have won a ?2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
safe,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
phishing,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
phishing,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
phishing,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345
safe,I am in bus on the way to calicut
safe,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries
safe,Sila pastikan anak buat latihan tambahan
safe,If you are not coughing then its nothing
safe,There is a first time for everything :)
safe,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
safe,1 in cbe. 2 in chennai.
safe,Ok i shall talk to him
safe,Yes. Rent is very expensive so its the way we save.
phishing,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
phishing,Ur HMV Quiz cash-balance is currently ?500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
safe,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
safe,I might go 2 sch. Yar at e salon now v boring.
safe,U repeat e instructions again. Wat's e road name of ur house?
phishing,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true?C C Ringtone?
safe,What you doing?how are you?
safe,Sorry i missed your call. Can you please call back.
phishing,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
safe,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
safe,Da is good good player.why he is unsold.
safe,WOT U UP 2 J?
safe,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
safe,have * good weekend.
safe,"K I'm leaving soon, be there a little after 9"
safe,Lmao you know me so well...
phishing,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
safe,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
safe,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
safe,Surly ill give it to you:-) while coming to review.
safe,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen"
safe,Beerage?
safe,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
safe,Got it! It looks scrumptious... daddy wants to eat you all night long!
safe,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
safe,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
safe,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
safe,Anak akan bawa balik surat makluman hari ini
phishing,Claim bantuan awal persekolahan klik bantuan-early.site
safe,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
safe,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx
safe,Good night my dear.. Sleepwell&amp;Take care
safe,"That's fine, have him give me a call if he knows what he wants or has any questions"
safe,I wont get concentration dear you know you are my mind and everything :-)
safe,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
safe,COME BACK TO TAMPA FFFFUUUUUUU
phishing,INTERFLORA - ?It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
safe,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
safe,Nope i'll come online now..
safe,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
safe,From tomorrow onwards eve 6 to 3 work.
safe,Lol or I could just starve and lose a pound by the end of the day.
safe,i want to grasp your pretty booty :)
safe,How come guoyang go n tell her? Then u told her?
safe,"sure, but make sure he knows we ain't smokin yet"
safe,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
safe,How do you guys go to see movies on your side.
safe,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)"
safe,Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.
safe,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it."
safe,Check wid corect speling i.e. Sarcasm
safe,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
safe,I told your number to gautham..
phishing,JPJ saman diskaun klik jpj-diskaun.xyz
safe,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
phishing,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
safe,Thanks. It was only from tescos but quite nice. All gone now. Speak soon
safe,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
phishing,"Romantic Paris. 2 nights, 2 flights from ?79 Book now 4 next year. Call 08704439680Ts&Cs apply."
safe,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
safe,When ?_ login dat time... Dad fetching ?_ home now?
phishing,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk
safe,"I noe la... U wana pei bf oso rite... K lor, other days den..."
safe,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
safe,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
phishing,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
safe,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
safe,?? dun wan to watch infernal affair?
phishing,You are a winner U have been specially selected 2 receive ?1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
phishing,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ?1500 Bonus Prize, call 09066364589"
safe,"I prefer my free days... Tues, wed, fri oso can... ?? ask those workin lor..."
phishing,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
safe,Man this bus is so so so slow. I think you're gonna get there before me
safe,Yes its possible but dint try. Pls dont tell to any one k
safe,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \DRINK\"". . . But don't \""DRIVE \"""""
safe,I'll reach in ard 20 mins ok...
safe,Cant think of anyone with * spare room off * top of my head
phishing,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
safe,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
phishing,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
safe,Hey what happen de. Are you alright.
safe,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.
safe,"This is one of the days you have a billion classes, right?"
safe,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
safe,"Velly good, yes please!"
safe,Big brother?? really scraped the barrel with this shower of social misfits
phishing,Security Alert: Update your password immediately: http://security-update-password.click
safe,Should I tell my friend not to come round til like  &lt;#&gt; ish?
safe,Ding me on ya break fassyole! Blacko from londn
safe,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
safe,"That's good, because I need drugs"
safe,I'm in class. Did you get my text.
safe,Ok... Ur typical reply...
phishing,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost ?1.50 min MobcudB more
safe,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
phishing,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
