label,message
suspicious,Urgent message sila baca sekarang
suspicious,Notis pembayaran tertunggak sila semak
suspicious,Anda ada transaksi luar biasa
suspicious,Sila confirm nombor telefon anda
suspicious,Sila verify email anda
suspicious,Action required untuk keselamatan
suspicious,Sila semak detail akaun
suspicious,Permintaan pengesahan diterima
suspicious,Sila lakukan semakan segera
suspicious,Akaun akan ditutup jika lewat
suspicious,Sila tekan untuk teruskan
suspicious,Sila klik untuk pengesahan
suspicious,Urgent verify now
suspicious,Anda perlu kemaskini data
suspicious,Notis keselamatan sila respon
suspicious,Semak status penghantaran melalui pautan
suspicious,Sila sahkan info pembayaran
suspicious,Anda diminta isi borang ringkas segera
suspicious,Sila check akaun anda
suspicious,Perlu tindakan segera untuk elak masalah
suspicious,Sila buat update sekarang
suspicious,Mesej penting dari pihak bank
suspicious,Sila sahkan akaun bank anda
suspicious,Notis rasmi tindakan diperlukan
suspicious,Account verification required
suspicious,Sila respond secepat mungkin
suspicious,Sila semak dan sahkan
phishing,Maybank alert akaun anda disekat sila verify di maybank-login.xyz
phishing,KWSP akaun dibekukan sila sahkan identiti di epf-secure.site
phishing,Shopee refund gagal sila isi detail bank di refund-secure.site
phishing,DHL parcel gagal hantar bayar RM3 di dhl-support.xyz
phishing,TAHniah anda menang RM500 klik claim di hadiah-topup.xyz
phishing,Urgent cikgu sila update maklumat melalui portal-guru.site sekarang
phishing,Akaun telegram anda akan locked verify di telegram-check.xyz
phishing,Anda ada transaksi luar biasa klik semak di bank-alert.top
phishing,Final warning akaun akan ditutup klik verify di secure-bank.site
phishing,Sila tekan link untuk aktifkan akaun sekarang di my-account-verify.xyz
phishing,Perlu OTP untuk sahkan akaun balas OTP anda sekarang
phishing,Sila bagi kod OTP untuk elak akaun disekat
phishing,Security team minta anda confirm OTP segera
phishing,Anda menerima TAC sila berikan TAC untuk pengesahan
phishing,Update sistem diperlukan klik di sistem-update.xyz
phishing,Akaun anda suspended klik untuk unlock di unlock-now.site
phishing,Bayaran tertunggak sila bayar melalui pay-now.top
phishing,Anda layak dapat bantuan RM600 daftar di bantuan-my.xyz
phishing,Claim voucher RM200 klik di voucher-free.site
phishing,Semak saman PDRM bayar diskaun di pdrm-diskaun.xyz
phishing,MySejahtera update diperlukan klik di mysejahtera-login.site
phishing,Tabung Haji notis akaun sila verify di th-verify.xyz
phishing,Poslaju parcel tahan customs bayar fee di poslaju-pay.site
phishing,Touch n Go eWallet perlu verify klik tng-verify.top
phishing,Unifi bil overdue bayar di unifi-bill.site
phishing,TNB bill tertunggak klik bayar di tnb-payment.xyz
phishing,Your Apple ID locked verify at apple-secure-id.top
phishing,PayPal security alert verify at paypal-confirm.site
phishing,Netflix account suspended update payment at netflix-billing.xyz
phishing,You won iPhone claim now at claim-iphone.site
phishing,Free data internet klik redeem di redeem-data.xyz
phishing,Cikgu ada surat penting klik link untuk download di file-download.top
phishing,Update maklumat sekolah segera di sekolah-update.site
phishing,Anda dipilih untuk hadiah klik link sekarang di prize-claim.xyz
phishing,Permohonan pinjaman lulus klik semak di loan-approve.site
phishing,Maybank2u verify required klik di maybank2u-secure.top
phishing,CIMB alert login attempt klik di cimb-secure.xyz
phishing,RHB account blocked klik di rhb-unblock.site
phishing,Hong Leong verify now klik hlb-verify.top
phishing,BSN akaun disekat klik bsn-login.xyz
phishing,Public Bank security alert klik pb-secure.site
phishing,Scammer alert sila isi maklumat klik scam-check.xyz
phishing,Anda perlu kemaskini IC klik ic-update.site
phishing,Permohonan bantuan sekolah klik bantuan-sekolah.xyz
phishing,Semak keputusan peperiksaan klik result-check.top
phishing,Claim bantuan awal persekolahan klik bantuan-early.site
phishing,Teacher account verification klik guru-portal.xyz
phishing,WhatsApp verification required klik wa-verify.site
phishing,Telegram premium free klik tg-premium.xyz
phishing,Anda terima refund RM120 klik refund-now.top
phishing,Refund cukai lulus klik tax-refund.site
phishing,Anda layak dapat eMadani daftar di emadani-claim.xyz
phishing,Daftar STR segera klik str-register.site
phishing,Bantuan sara hidup klik bantuan-sara.xyz
phishing,Update bank detail untuk bayaran klik bank-detail.site
phishing,Sila login untuk semak notis klik portal-notis.xyz
phishing,Your account compromised reset password at reset-now.site
phishing,Password expire update at password-update.xyz
phishing,Secure message view at secure-msg.site
phishing,Document shared view at doc-view.top
phishing,Anda dapat jemputan kerja part time klik job-offer.site
phishing,Gaji RM500 sehari daftar di kerja-mudah.xyz
phishing,Investment cepat kaya klik invest-now.top
phishing,Forex signal free klik forex-free.site
phishing,Bitcoin promo claim klik btc-claim.xyz
phishing,Anda menang lucky draw klik lucky-claim.site
phishing,Free shopping voucher klik shop-voucher.xyz
phishing,Semak tracking parcel klik track-now.site
phishing,Parcel gagal hantar update alamat klik address-update.xyz
phishing,Bayar fee penghantaran klik delivery-fee.top
phishing,Notis mahkamah klik court-notice.site
phishing,Notis polis klik police-notice.xyz
phishing,SPRM notis rasmi klik sprm-alert.site
phishing,JPJ saman diskaun klik jpj-diskaun.xyz
phishing,Anda perlu bayar saman klik bayar-saman.site
phishing,Update eWallet security klik ewallet-secure.xyz
phishing,Claim cashback klik cashback-now.site
phishing,Topup percuma klik topup-free.top
phishing,Anda terpilih hadiah sekolah klik hadiah-sekolah.site
phishing,PTPTN bayaran tertunggak klik ptptn-pay.xyz
phishing,PTPTN diskaun bayar klik ptptn-diskaun.site
phishing,Anda diminta isi borang pengesahan klik verify-form.xyz
phishing,Sila klik link untuk sahkan nombor telefon klik phone-verify.site
phishing,Notis akaun dibekukan segera klik freeze-check.xyz
phishing,Urgent verify to avoid permanent block klik verify-24h.site
phishing,Akaun anda akan ditamatkan klik terminate-now.xyz
phishing,Sila semak penyata klik statement-view.site
phishing,Download slip bayaran klik slip-download.top
phishing,Reset PIN diperlukan klik pin-reset.xyz
phishing,TAC diperlukan untuk release payment balas TAC sekarang
phishing,Anda menerima OTP jangan abaikan berikan OTP untuk confirm
phishing,Support agent minta OTP untuk proses refund
phishing,Sila beri OTP untuk aktifkan akaun
phishing,Bank agent minta kod TAC untuk keselamatan
phishing,Sila klik link dan masukkan OTP di otp-check.site
phishing,Masukkan OTP untuk selesai verifikasi di verify-otp.xyz
phishing,OTP anda telah tamat klik generate di otp-new.site
phishing,Anda dipilih bantuan khas klik bantuan-khas.xyz
phishing,Claim bantuan hari ini sahaja klik claim-today.site
phishing,Promo tamat malam ini klik promo-last.xyz
phishing,Last chance claim sekarang klik last-claim.site
phishing,Sila login akaun untuk semak klik login-check.xyz
phishing,Account update required klik update-required.site
phishing,Payment failed update card klik card-update.xyz
phishing,Your order problem click resolve at order-fix.site
phishing,Parcel held click release at release-parcel.xyz
phishing,Refund pending click confirm at confirm-refund.site
phishing,Anda perlu isi maklumat bank klik bank-info.xyz
phishing,Update alamat segera klik update-alamat.site
phishing,Akaun sekolah anda bermasalah klik sekolah-login.xyz
phishing,Sila klik pautan untuk maklumat lanjut klik info-more.site
phishing,Link keselamatan klik secure-link.xyz
phishing,Anda menerima notis penting klik notis-penting.site
phishing,Verify now to continue klik continue-verify.xyz
